,name,price,region,power,volume,transmission,wheel_drive
0,  FAW Bestune T77 2021  , ,Київ ,168.0,1.5,Роботизована,Передній
1,  MG ZS 2021  , ,Одеса ,114.0,1.5,Варіатор,Передній
2,  Nissan Juke 2021  , ,Одеса ,114.0,1.0,Роботизована,Передній
3,  Nissan Juke 2021  , ,Одеса ,114.0,1.0,Роботизована,Передній
4,  Ford Kuga 2021  , ,Кропивницький (Кіровоград) ,182.0,1.5,Автомат,Передній
5,  Opel Mokka 2021  , ,Запоріжжя ,130.0,1.2,Автомат,Передній
6,  Nissan Qashqai 2021  , ,Черкаси ,150.0,1.3,Варіатор,Передній
7,  MG HS 2021  , ,Миколаїв ,228.0,2.0,Автомат,Повний
8,  Haval Jolion 2021  , ,Луцьк ,143.0,1.5,Автомат,Передній
9,  Nissan Qashqai 2022  , ,Кропивницький (Кіровоград) ,150.0,1.3,Варіатор,Повний
10,  Hyundai Kona 2021  , ,Вінниця ,198.0,1.6,Автомат,Передній
11,  Porsche Cayenne Coupe 2021  , ,Одеса ,340.0,3.0,Тіптронік,Повний
12,  Nissan X-Trail 2021  , ,Київ ,171.0,2.5,Варіатор,Повний
13,  Hyundai Tucson 2022  , ,Рівне ,136.0,1.6,Роботизована,Передній
14,  Jetour X70 2021  , ,Хмельницький ,147.0,1.5,Автомат,Передній
15,  Nissan Leaf 2021  , ,Рівне ,150.0,,,Передній
16,  Renault Express Van 2021  , ,Рівне ,95.0,1.5,Механічна,Передній
17,  Honda CR-V 2021  , ,Дніпро (Дніпропетровськ) ,193.0,1.5,Варіатор,Повний
18,  DS 3 Crossback 2021  , ,Київ ,130.0,1.5,Автомат,Передній
19,  Porsche Cayenne 2021  , ,Одеса ,340.0,3.0,Тіптронік,Повний
20,  Nissan X-Trail 2021  , ,Рівне ,130.0,1.6,Варіатор,Передній
21,  Mitsubishi Eclipse Cross 2021  , ,Одеса ,150.0,1.5,Варіатор,Повний
22,  Nissan Juke 2022  , ,Київ ,114.0,1.0,Роботизована,Передній
23,  Chery Tiggo 2 2021  , ,Хмельницький ,106.0,1.5,Механічна,Передній
24,  Opel Mokka 2021  , ,Львів ,130.0,1.2,Автомат,Передній
25,  Haval Jolion 2021  , ,Запоріжжя ,143.0,1.5,Автомат,Повний
26,  Nissan Juke 2021  , ,Хмельницький ,114.0,1.0,Роботизована,Передній
27,  Toyota Land Cruiser 300 2021  , ,Полтава ,415.0,3.5,Автомат,Повний
28,  Hyundai Ioniq 5 2021  , ,Полтава ,170.0,,,
29,  Citroen C5 Aircross 2022  , ,Київ ,180.0,2.0,Автомат,Передній
30,  Renault Arkana 2021  , ,Луцьк ,150.0,1.3,Варіатор,Передній
31,  Skoda Karoq 2022  , ,Івано-Франківськ ,150.0,1.4,Автомат,Передній
32,  Suzuki Vitara 2021  , ,Тернопіль ,117.0,1.6,Механічна,Передній
33,  Mitsubishi Eclipse Cross 2021  , ,Миколаїв ,150.0,1.5,Варіатор,Повний
34,  Renault Captur 2021  , ,Кропивницький (Кіровоград) ,155.0,1.3,Роботизована,Передній
35,  MG 5 2021  , ,Одеса ,114.0,1.5,Варіатор,Передній
36,  Mazda CX-3 2021  , ,Дніпро (Дніпропетровськ) ,121.0,2.0,Автомат,Передній
37,  Chery Tiggo 2 2021  , ,Хмельницький ,106.0,1.5,Механічна,Передній
38,  Fiat 500 2021  , ,Рівне ,69.0,1.2,Роботизована,Передній
39,  Mercedes-Benz GLE-Class 2021  , ,Хмельницький ,299.0,,Автомат,Повний
40,  Peugeot 2008 2022  , ,Кропивницький (Кіровоград) ,130.0,1.2,Автомат,Передній
41,  Haval Jolion 2021  , ,Полтава ,143.0,1.5,Автомат,Передній
42,  Mazda 6 2021  , ,Дніпро (Дніпропетровськ) ,231.0,2.5,Автомат,Передній
43,  Chery Tiggo 2 2021  , ,Київ ,106.0,1.5,Механічна,Передній
44,  Volkswagen Golf 2021  , ,Львів ,245.0,2.0,Автомат,Передній
45,  Toyota C-HR 2021  , ,Полтава ,184.0,2.0,Варіатор,Передній
46,  Peugeot Traveller 2021  , ,Вінниця ,177.0,2.0,Автомат,Передній
47,  Nissan Qashqai 2022  , ,Кропивницький (Кіровоград) ,150.0,1.3,Варіатор,Повний
48,  Mercedes-Benz GLE-Class 2021  , ,Львів ,272.0,,Автомат,Повний
49,  Nissan X-Trail 2021  , ,Кропивницький (Кіровоград) ,144.0,2.0,Механічна,Передній
50,  Volkswagen T-Roc 2021  , ,Чернівці ,150.0,1.5,Автомат,Передній
51,  Skoda Kodiaq 2022  , ,Хмельницький ,180.0,2.0,Роботизована,Повний
52,  Peugeot 2008 2021  , ,Черкаси ,130.0,1.2,Автомат,Передній
53,  Nissan Juke 2021  , ,Черкаси ,114.0,1.0,Механічна,Передній
54,  Jetour X70 2021  , ,Хмельницький ,147.0,1.5,Автомат,Передній
55,  Volkswagen T-Cross 2021  , ,Хмельницький ,115.0,1.0,Автомат,Передній
56,  Opel Mokka 2021  , ,Київ ,130.0,1.2,Автомат,Передній
57,  Peugeot Expert пасс. 2021  , ,Запоріжжя ,150.0,2.0,Механічна,Передній
58,  Ford Transit груз. 2021  , ,Вінниця ,130.0,2.0,Механічна,Передній
59,  Honda Civic 2021  , ,Одеса ,125.0,1.6,Варіатор,Передній
60,  Haval H6 2021  , ,Дніпро (Дніпропетровськ) ,204.0,2.0,Роботизована,Повний
61,  Kia Rio X 2022  , ,Запоріжжя ,123.0,1.6,Автомат,Передній
62,  Honda CR-V 2021  , ,Дніпро (Дніпропетровськ) ,184.0,2.0,Варіатор,Повний
63,  Citroen C-Elysee 2021  , ,Київ ,115.0,1.6,Механічна,Передній
64,  Volkswagen T-Roc 2021  , ,Чернівці ,150.0,1.5,Автомат,Передній
65,  Mazda CX-3 2021  , ,Вінниця ,121.0,2.0,Автомат,Передній
66,  Haval H6 2021  , ,Дніпро (Дніпропетровськ) ,204.0,2.0,Роботизована,Передній
67,  Nissan Juke 2021  , ,Івано-Франківськ ,114.0,1.0,Механічна,Передній
68,  Ford Kuga 2021  , ,Миколаїв ,182.0,1.5,Автомат,Передній
69,  Volkswagen Caddy пасс. 2021  , ,Хмельницький ,102.0,2.0,Механічна,Передній
70,  Mazda CX-5 2021  , ,Вінниця ,150.0,2.0,Автомат,Передній
71,  Citroen C5 Aircross 2021  , ,Вінниця ,180.0,2.0,Автомат,Передній
72,  Kia Ceed 2022  , ,Львів ,128.0,1.6,Автомат,Передній
73,  Volkswagen Touareg 2022  , ,Луцьк ,231.0,3.0,Автомат,Повний
74,  Renault Duster 2022  , ,Луцьк ,110.0,1.5,Механічна,Передній
75,  Opel Combo Life 2021  , ,Львів ,92.0,1.6,Механічна,Передній
76,  Nissan Leaf 2021  , ,Рівне ,150.0,,,Передній
77,  Nissan X-Trail 2021  , ,Тернопіль ,130.0,1.6,Варіатор,Передній
78,  Volkswagen T-Roc 2021  , ,Луцьк ,150.0,1.5,Автомат,Передній
79,  Peugeot 2008 2021  , ,Кропивницький (Кіровоград) ,155.0,1.2,Автомат,Передній
80,  Audi e-tron Sportback 2021  , ,Дніпро (Дніпропетровськ) ,408.0,,Автомат,Повний
81,  Ford Kuga 2021  , ,Хмельницький ,182.0,1.5,Автомат,Повний
82,  Renault Express Van 2021  , ,Черкаси ,95.0,1.5,Механічна,Передній
83,  Skoda Kamiq 2022  , ,Полтава ,110.0,1.6,Автомат,Передній
84,  Toyota Yaris Cross 2021  , ,Полтава ,116.0,1.5,Варіатор,Передній
85,  Skoda Kodiaq 2022  , ,Хмельницький ,180.0,2.0,Роботизована,Повний
86,  Renault Duster 2022  , ,Запоріжжя ,110.0,1.5,Роботизована,Передній
87,  Mazda 3 2021  , ,Івано-Франківськ ,150.0,2.0,Автомат,Передній
88,  JAC J7 2021  , ,Дніпро (Дніпропетровськ) ,150.0,1.5,Механічна,Передній
89,  Haval Jolion 2021  , ,Луцьк ,143.0,1.5,Автомат,Передній
90,  Mitsubishi Eclipse Cross 2021  , ,Чернівці ,150.0,1.5,Варіатор,Повний
91,  Opel Mokka 2021  , ,Івано-Франківськ ,130.0,1.2,Автомат,Передній
92,  Mercedes-Benz GLE-Class 2021  , ,Черкаси ,272.0,,Автомат,Повний
93,  Honda Civic 2021  , ,Дніпро (Дніпропетровськ) ,125.0,1.6,Варіатор,Передній
94,  Nissan Juke 2021  , ,Одеса ,114.0,1.0,Роботизована,Передній
95,  Peugeot 2008 2021  , ,Черкаси ,130.0,1.5,Автомат,Передній
96,  Suzuki Jimny 2021  , ,Запоріжжя ,102.0,1.5,Автомат,Повний
97,  Renault Captur 2021  , ,Кропивницький (Кіровоград) ,155.0,1.3,Роботизована,Передній
98,  Nissan Juke 2022  , ,Київ ,114.0,1.0,Роботизована,Передній
99,  Volkswagen T-Cross 2021  , ,Тернопіль ,115.0,1.0,Автомат,Передній
100,  Nissan X-Trail 2021  ,    34 249 $    ,Кропивницький (Кіровоград) ,171.0,2.5,Варіатор,Повний
101,  MG HS 2021  ,    27 033 $    ,Миколаїв ,228.0,2.0,Автомат,Повний
102,  Ford Kuga 2020  ,    30 088 $    ,Полтава ,120.0,1.5,Автомат,Передній
103,  Porsche Cayenne 2021  ,    155 139 $    ,Одеса ,460.0,4.0,Автомат,Повний
104,  Citroen C-Elysee 2021  ,    13 451 $    ,Черкаси ,115.0,1.6,Механічна,Передній
105,  Citroen C3 2021  ,    18 663 $    ,Черкаси ,110.0,1.2,Автомат,Передній
106,  Hyundai Venue 2021  ,    23 584 $    ,Запоріжжя ,123.0,1.6,Автомат,Передній
107,  Mitsubishi ASX 2021  ,    26 400 $    ,Чернівці ,150.0,2.0,Варіатор,Повний
108,  Peugeot 3008 2021  ,    54 796 $    ,Львів ,,1.6,Автомат,Повний
109,  Honda Civic 2021  ,    21 662 $    ,Одеса ,125.0,1.6,Варіатор,Передній
110,  Infiniti QX50 2021  ,    53 600 $    ,Хмельницький ,249.0,2.0,Варіатор,Повний
111,  Ford Kuga 2021  ,    30 408 $    ,Хмельницький ,182.0,1.5,Автомат,Передній
112,  Ford Kuga 2021  ,    31 901 $    ,Кропивницький (Кіровоград) ,182.0,1.5,Автомат,Передній
113,  Volvo XC40 Recharge 2021  ,    55 042 $    ,Вінниця ,408.0,,,Повний
114,  Hyundai Elantra 2021  ,    26 045 $    ,Запоріжжя ,127.0,1.6,Автомат,Передній
115,  Ford Kuga 2021  ,    30 553 $    ,Хмельницький ,182.0,1.5,Автомат,Передній
116,  Hyundai Venue 2021  ,    23 584 $    ,Івано-Франківськ ,123.0,1.6,Автомат,Передній
117,  Opel Mokka 2022  ,    25 132 $    ,Черкаси ,130.0,1.2,Автомат,Передній
118,  Ford Kuga 2021  ,    27 236 $    ,Івано-Франківськ ,182.0,1.5,Автомат,Передній
119,  Nissan Juke 2021  ,    22 494 $    ,Кропивницький (Кіровоград) ,114.0,1.0,Роботизована,Передній
120,  Nissan Juke 2021  ,    22 317 $    ,Київ ,114.0,1.0,Роботизована,Передній
121,  Nissan Juke 2021  ,    20 679 $    ,Хмельницький ,114.0,1.0,Роботизована,Передній
122,  Volkswagen T-Roc 2021  ,    27 236 $    ,Житомир ,150.0,1.5,Автомат,Передній
123,  Nissan Qashqai 2022  ,    33 148 $    ,Київ ,150.0,1.3,Варіатор,Повний
124,  Citroen C-Elysee 2022  ,    15 542 $    ,Вінниця ,115.0,1.6,Механічна,Передній
125,  Nissan X-Trail 2021  ,    24 224 $    ,Одеса ,144.0,2.0,Варіатор,Передній
126,  Peugeot Partner груз. 2022  ,    20 118 $    ,Вінниця ,90.0,1.6,Механічна,Передній
127,  Citroen C-Elysee 2021  ,    17 470 $    ,Львів ,115.0,1.6,Автомат,Передній
128,  Ford Kuga 2021  ,    35 320 $    ,Хмельницький ,182.0,1.5,Автомат,Повний
129,  Nissan Leaf 2021  ,    27 546 $    ,Одеса ,150.0,,,Передній
130,  Toyota Camry 2021  ,    33 093 $    ,Одеса ,218.0,2.5,Варіатор,Передній
131,  Nissan Juke 2021  ,    23 358 $    ,Одеса ,114.0,1.0,Роботизована,Передній
132,  Mazda CX-30 2021  ,    26 927 $    ,Дніпро (Дніпропетровськ) ,150.0,2.0,Автомат,Передній
133,  Nissan X-Trail 2021  ,    26 966 $    ,Хмельницький ,130.0,1.6,Варіатор,Передній
134,  Volkswagen T-Cross 2021  ,    23 179 $    ,Хмельницький ,115.0,1.0,Автомат,Передній
135,  Chevrolet Cobalt 2021  ,    11 188 $    ,Черкаси ,106.0,1.5,Механічна,Передній
136,  Nissan Juke 2021  ,    20 855 $    ,Кропивницький (Кіровоград) ,114.0,1.0,Роботизована,Передній
137,  Ford Kuga 2021  ,    33 206 $    ,Кропивницький (Кіровоград) ,182.0,1.5,Автомат,Повний
138,  Chery Tiggo 2 2021  ,    11 130 $    ,Хмельницький ,106.0,1.5,Механічна,Передній
139,  Nissan Qashqai 2022  ,    31 328 $    ,Хмельницький ,150.0,1.3,Варіатор,Передній
140,  Volkswagen T-Cross 2021  ,    24 070 $    ,Житомир ,115.0,1.0,Автомат,Передній
141,  Ford Kuga 2021  ,    30 875 $    ,Кропивницький (Кіровоград) ,182.0,1.5,Автомат,Повний
142,  Renault Captur 2021  ,    24 165 $    ,Кропивницький (Кіровоград) ,155.0,1.3,Роботизована,Передній
143,  Audi Q8 2022  ,    93 498 $    ,Дніпро (Дніпропетровськ) ,286.0,,Тіптронік,Повний
144,  Mazda CX-5 2021  ,    26 927 $    ,Дніпро (Дніпропетровськ) ,150.0,2.0,Автомат,Передній
145,  Peugeot 2008 2022  ,    29 808 $    ,Черкаси ,155.0,1.2,Автомат,Передній
146,  Volvo XC60 2022  ,    63 405 $    ,Вінниця ,197.0,2.0,Автомат,Повний
147,  Suzuki Ignis 2021  ,    17 112 $    ,Дніпро (Дніпропетровськ) ,83.0,1.2,Варіатор,Передній
148,  Audi Q7 2021  ,    92 119 $    ,Дніпро (Дніпропетровськ) ,286.0,3.0,Автомат,Повний
149,  Mitsubishi Outlander 2021  ,    32 000 $    ,Чернівці ,167.0,2.4,Варіатор,Повний
150,  Volkswagen Tiguan 2021  ,    49 458 $    ,Житомир ,150.0,2.0,Автомат,Повний
151,  Honda Civic 2021  ,    21 662 $    ,Одеса ,125.0,1.6,Варіатор,Передній
152,  Nissan Juke 2021  ,    20 180 $    ,Черкаси ,114.0,1.0,Механічна,Передній
153,  MG HS 2021  ,    21 369 $    ,Миколаїв ,169.0,1.5,Автомат,Передній
154,  Audi Q8 2022  ,    87 970 $    ,Дніпро (Дніпропетровськ) ,286.0,,Тіптронік,Повний
155,  MG HS 2021  ,    23 014 $    ,Полтава ,169.0,1.5,Автомат,Передній
156,  Nissan Juke 2021  ,    20 679 $    ,Київ ,114.0,1.0,Роботизована,Передній
157,  Citroen Space Tourer 2021  ,    43 160 $    ,Львів ,150.0,2.0,Автомат,Передній
158,  Mitsubishi Eclipse Cross 2021  ,    32 000 $    ,Чернівці ,150.0,1.5,Варіатор,Повний
159,  Porsche Cayenne Coupe 2021  ,    137 131 $    ,Одеса ,340.0,3.0,Тіптронік,Повний
160,  Citroen Berlingo пасс. 2022  ,    21 594 $    ,Черкаси ,92.0,1.6,Механічна,
161,  Renault Megane 2021  ,    23 244 $    ,Черкаси ,115.0,1.5,Механічна,Передній
162,  Renault Captur 2021  ,    24 536 $    ,Кропивницький (Кіровоград) ,155.0,1.3,Роботизована,Передній
163,  Renault Express Van 2021  ,    16 797 $    ,Черкаси ,95.0,1.5,Механічна,Передній
164,  Toyota Land Cruiser 300 2021  ,    90 143 $    ,Полтава ,415.0,3.5,Автомат,Повний
165,  Toyota Camry 2021  ,    35 673 $    ,Івано-Франківськ ,207.0,2.5,Автомат,Передній
166,  Nissan Qashqai 2022  ,    28 816 $    ,Одеса ,150.0,1.3,Варіатор,Передній
167,  Haval Jolion 2021  ,    28 835 $    ,Івано-Франківськ ,143.0,1.5,Автомат,Повний
168,  Volkswagen T-Roc 2021  ,    26 955 $    ,Івано-Франківськ ,150.0,1.5,Автомат,Передній
169,  Peugeot Partner груз. 2022  ,    21 975 $    ,Вінниця ,100.0,1.5,Механічна,Передній
170,  Volkswagen T-Roc 2021  ,    29 641 $    ,Івано-Франківськ ,150.0,1.5,Автомат,Передній
171,  Citroen C3 2021  ,    20 703 $    ,Київ ,110.0,1.2,Автомат,Передній
172,  Infiniti QX50 2021  ,    54 500 $    ,Хмельницький ,249.0,2.0,Варіатор,Повний
173,  Citroen C-Elysee 2021  ,    14 478 $    ,Київ ,115.0,1.6,Механічна,Передній
174,  Peugeot 208 2021  ,    20 737 $    ,Вінниця ,130.0,1.2,Автомат,Передній
175,  Fiat Tipo 2021  ,    18 261 $    ,Полтава ,110.0,1.6,Автомат,Передній
176,  Nissan Leaf 2021  ,    29 248 $    ,Одеса ,150.0,,,Передній
177,  Fiat Tipo 2021  ,    23 488 $    ,Полтава ,110.0,1.6,Автомат,Передній
178,  Infiniti QX80 2022  ,    72 000 $    ,Хмельницький ,405.0,5.6,Автомат,Повний
179,  Toyota Land Cruiser 300 2021  ,    91 860 $    ,Кременчук ,415.0,3.5,Автомат,Повний
180,  Toyota Land Cruiser 300 2021  ,    79 902 $    ,Одеса ,299.0,3.3,Автомат,Повний
181,  Volkswagen Touareg 2021  ,    83 287 $    ,Івано-Франківськ ,286.0,3.0,Автомат,Повний
182,  Ford Transit Courier 2021  ,    14 516 $    ,Івано-Франківськ ,100.0,1.0,Механічна,Передній
183,  Toyota Yaris Cross 2021  ,    28 471 $    ,Полтава ,116.0,1.5,Варіатор,Передній
184,  Ford Kuga 2021  ,    30 919 $    ,Івано-Франківськ ,182.0,1.5,Автомат,Передній
185,  Suzuki Vitara 2021  ,    19 619 $    ,Запоріжжя ,117.0,1.6,Автомат,Передній
186,  Mercedes-Benz S-Class 2021  ,    162 506 $    ,Ужгород ,367.0,,Автомат,Повний
187,  Chery Tiggo 2 2021  ,    11 130 $    ,Київ ,106.0,1.5,Механічна,Передній
188,  Toyota C-HR 2022  ,    28 686 $    ,Одеса ,122.0,1.8,Варіатор,Передній
189,  Mercedes-Benz GLE-Class 2021  ,    94 681 $    ,Ужгород ,272.0,,Автомат,Повний
190,  Mazda CX-5 2021  ,    34 311 $    ,Дніпро (Дніпропетровськ) ,194.0,2.5,Автомат,Повний
191,  Haval Jolion 2021  ,    26 493 $    ,Луцьк ,143.0,1.5,Автомат,Повний
192,  Chery Tiggo 4 2021  ,    14 776 $    ,Київ ,116.0,1.5,Механічна,Передній
193,  Mazda CX-3 2021  ,    21 984 $    ,Дніпро (Дніпропетровськ) ,121.0,2.0,Автомат,Передній
194,  Jetour X70 2021  ,    17 654 $    ,Київ ,147.0,1.5,Механічна,Передній
195,  MG ZS 2021  ,    17 424 $    ,Миколаїв ,114.0,1.5,Варіатор,Передній
196,  Renault Express 2021  ,    18 304 $    ,Черкаси ,95.0,1.5,Механічна,Передній
197,  Porsche Macan 2022  ,    72 951 $    ,Одеса ,265.0,2.0,Автомат,Повний
198,  Suzuki SX4 2021  ,    18 258 $    ,Запоріжжя ,117.0,1.6,Механічна,Повний
199,  Suzuki Ignis 2021  ,    17 112 $    ,Запоріжжя ,83.0,1.2,Варіатор,Передній
200,  Kia Rio X-Line 2022  ,    17 750 $    ,Миколаїв ,,,Автомат,Передній
201,  Audi RS6 2021  ,    139 659 $    ,Дніпро (Дніпропетровськ) ,600.0,4.0,Автомат,Повний
202,  Nissan X-Trail 2021  ,    28 723 $    ,Тернопіль ,130.0,1.6,Варіатор,Передній
203,  Ford Kuga 2021  ,    33 946 $    ,Кропивницький (Кіровоград) ,182.0,1.5,Автомат,Повний
204,  Skoda Kamiq 2022  ,    16 558 $    ,Івано-Франківськ ,110.0,1.6,Механічна,Передній
205,  Haval Jolion 2021  ,    25 699 $    ,Луцьк ,143.0,1.5,Автомат,Передній
206,  Renault Kadjar 2021  ,    25 998 $    ,Черкаси ,110.0,1.5,Автомат,Передній
207,  Ford Kuga 2021  ,    34 857 $    ,Миколаїв ,182.0,1.5,Автомат,Передній
208,  Citroen C5 Aircross 2021  ,    28 468 $    ,Миколаїв ,180.0,2.0,Автомат,Передній
209,  Peugeot Traveller 2021  ,    44 395 $    ,Вінниця ,177.0,2.0,Автомат,Передній
210,  Haval Jolion 2021  ,    26 812 $    ,Дніпро (Дніпропетровськ) ,143.0,1.5,Автомат,Передній
211,  Nissan Qashqai 2022  ,    30 944 $    ,Хмельницький ,150.0,1.3,Варіатор,Передній
212,  Nissan Leaf 2021  ,    30 626 $    ,Хмельницький ,150.0,,,Передній
213,  Nissan Leaf 2021  ,    30 084 $    ,Хмельницький ,150.0,,,Передній
214,  Nissan Juke 2021  ,    24 797 $    ,Хмельницький ,114.0,1.0,Роботизована,Передній
215,  Audi e-tron Sportback 2021  ,    89 686 $    ,Дніпро (Дніпропетровськ) ,408.0,,Автомат,Повний
216,  Citroen C4 2021  ,    23 798 $    ,Львів ,155.0,1.2,Автомат,Передній
217,  Mitsubishi Outlander 2021  ,    35 000 $    ,Чернівці ,167.0,2.4,Варіатор,Повний
218,  Land Rover Range Rover Sport 2021  ,    131 224 $    ,Київ ,300.0,3.0,Автомат,Повний
219,  Nissan Juke 2022  ,    20 855 $    ,Хмельницький ,114.0,1.0,Роботизована,Передній
220,  Haval Jolion 2021  ,    21 416 $    ,Миколаїв ,143.0,1.5,Автомат,Передній
221,  Mitsubishi Pajero Sport 2021  ,    47 219 $    ,Черкаси ,181.0,2.4,Автомат,
222,  Nissan Juke 2021  ,    24 146 $    ,Одеса ,114.0,1.0,Роботизована,Передній
223,  Citroen C3 Aircross 2021  ,    24 792 $    ,Львів ,120.0,1.5,Автомат,Передній
224,  Peugeot Partner груз. 2021  ,    21 975 $    ,Вінниця ,100.0,1.5,Механічна,Передній
225,  Haval H6 2021  ,    22 485 $    ,Дніпро (Дніпропетровськ) ,204.0,2.0,Роботизована,Передній
226,  Ford Ranger 2022  ,    37 849 $    ,Кропивницький (Кіровоград) ,170.0,2.0,Механічна,Повний
227,  Haval H6 2021  ,    32 533 $    ,Луцьк ,204.0,2.0,Роботизована,Повний
228,  Nissan Juke 2021  ,    16 986 $    ,Івано-Франківськ ,114.0,1.0,Механічна,Передній
229,  Land Rover Range Rover Sport 2021  ,    189 275 $    ,Київ ,575.0,5.0,Автомат,Повний
230,  Mitsubishi Outlander 2021  ,    37 600 $    ,Одеса ,167.0,2.4,Варіатор,Повний
231,  Haval H6 2021  ,    25 255 $    ,Дніпро (Дніпропетровськ) ,204.0,2.0,Роботизована,Передній
232,  Opel Mokka 2022  ,    27 546 $    ,Черкаси ,130.0,1.2,Автомат,Передній
233,  Ford Kuga 2021  ,    34 844 $    ,Полтава ,182.0,1.5,Автомат,Передній
234,  Nissan Qashqai 2021  ,    34 602 $    ,Київ ,150.0,1.3,Варіатор,Повний
235,  Nissan X-Trail 2021  ,    33 671 $    ,Тернопіль ,144.0,2.0,Варіатор,Повний
236,  Lexus ES 2021  ,    62 904 $    ,Львів ,207.0,,Автомат,Передній
237,  Chery Tiggo 2 Pro 2021  ,    14 949 $    ,Хмельницький ,109.0,1.5,Варіатор,Передній
238,  Volkswagen T-Roc 2021  ,    28 068 $    ,Хмельницький ,150.0,1.5,Автомат,Передній
239,  Hyundai Palisade 2021  ,    48 901 $    ,Дніпро (Дніпропетровськ) ,295.0,3.8,Автомат,Повний
240,  Ford Transit груз. 2022  ,    35 139 $    ,Кропивницький (Кіровоград) ,130.0,2.0,Механічна,Передній
241,  Nissan Juke 2021  ,    19 258 $    ,Хмельницький ,114.0,1.0,Механічна,Передній
242,  Chery Tiggo 2 Pro 2021  ,    13 556 $    ,Хмельницький ,109.0,1.5,Механічна,Передній
243,  Nissan X-Trail 2021  ,    22 014 $    ,Кропивницький (Кіровоград) ,144.0,2.0,Механічна,Передній
244,  Volkswagen T-Cross 2021  ,    22 594 $    ,Житомир ,115.0,1.0,Автомат,Передній
245,  Opel Combo Cargo 2022  ,    20 272 $    ,Черкаси ,92.0,1.6,Механічна,Передній
246,  Nissan Juke 2021  ,    23 723 $    ,Хмельницький ,114.0,1.0,Роботизована,Передній
247,  Land Rover Range Rover Sport 2021  ,    196 166 $    ,Київ ,575.0,5.0,Автомат,Повний
248,  Infiniti QX50 2021  ,    53 247 $    ,Київ ,249.0,2.0,Варіатор,Повний
249,  Skoda Kodiaq 2022  ,    38 301 $    ,Івано-Франківськ ,180.0,2.0,Роботизована,Повний
250,  Haval H9 2021  ,    35 055 $    ,Запоріжжя ,190.0,2.0,Автомат,Повний
251,  Peugeot Partner груз. 2022  ,    21 444 $    ,Черкаси ,92.0,1.6,Механічна,Передній
252,  Volkswagen T-Roc 2021  ,    26 308 $    ,Тернопіль ,150.0,1.5,Автомат,Передній
253,  MG HS 2021  ,    21 369 $    ,Миколаїв ,169.0,1.5,Автомат,Передній
254,  Nissan Qashqai 2022  ,    36 357 $    ,Івано-Франківськ ,150.0,1.3,Варіатор,Повний
255,  Hyundai Tucson 2021  ,    23 513 $    ,Дніпро (Дніпропетровськ) ,156.0,2.0,Механічна,Передній
256,  Chery Tiggo 2 Pro 2021  ,    13 900 $    ,Хмельницький ,109.0,1.5,Механічна,Передній
257,  Chery Tiggo 2 Pro 2021  ,    12 586 $    ,Хмельницький ,109.0,1.5,Механічна,Передній
258,  Renault Captur 2021  ,    20 737 $    ,Черкаси ,130.0,1.3,Роботизована,Передній
259,  Ford Ranger 2022  ,    48 954 $    ,Кропивницький (Кіровоград) ,213.0,2.0,Автомат,Повний
260,  JAC S3 2021  ,    17 008 $    ,Дніпро (Дніпропетровськ) ,119.0,1.6,Механічна,
261,  Nissan Qashqai 2022  ,    32 595 $    ,Кропивницький (Кіровоград) ,150.0,1.3,Варіатор,Повний
262,  Nissan Leaf 2021  ,    30 224 $    ,Івано-Франківськ ,150.0,,,Передній
263,  Citroen C3 2021  ,    17 052 $    ,Львів ,82.0,1.2,Механічна,Передній
264,  Porsche Cayenne 2022  ,    145 460 $    ,Одеса ,340.0,3.0,Тіптронік,Повний
265,  JAC J7 2021  ,    17 105 $    ,Луцьк ,150.0,1.5,Механічна,Передній
266,  Peugeot 208 2022  ,    24 000 $    ,Одеса ,130.0,1.2,Автомат,Передній
267,  Mitsubishi Outlander 2021  ,    25 900 $    ,Одеса ,145.0,2.0,Варіатор,Передній
268,  Chery Tiggo 4 2021  ,    15 400 $    ,Хмельницький ,113.0,1.5,Механічна,Передній
269,  Nissan Qashqai 2021  ,    31 008 $    ,Одеса ,150.0,1.3,Варіатор,Повний
270,  Chery Tiggo 2 Pro 2021  ,    15 300 $    ,Хмельницький ,109.0,1.5,Варіатор,Передній
271,  Volkswagen Touareg 2021  ,    78 500 $    ,Тернопіль ,286.0,3.0,Автомат,Повний
272,  Nissan Juke 2021  ,    22 494 $    ,Хмельницький ,114.0,1.0,Роботизована,Передній
273,  Jaguar XE 2021  ,    57 874 $    ,Київ ,250.0,2.0,Автомат,
274,  Nissan Leaf 2021  ,    30 302 $    ,Одеса ,150.0,,,Передній
275,  Jaguar F-Pace 2021  ,    70 119 $    ,Київ ,250.0,2.0,Автомат,Повний
276,  Volkswagen Caddy пасс. 2021  ,    28 068 $    ,Хмельницький ,102.0,2.0,Механічна,Передній
277,  Mitsubishi ASX 2021  ,    27 100 $    ,Одеса ,150.0,2.0,Варіатор,Повний
278,  Mitsubishi ASX 2021  ,    28 031 $    ,Чернівці ,150.0,2.0,Варіатор,Повний
279,  Peugeot 208 2021  ,    20 928 $    ,Львів ,130.0,1.2,Автомат,Передній
280,  Peugeot 508 2022  ,    46 300 $    ,Одеса ,180.0,2.0,Автомат,Передній
281,  Nissan Juke 2021  ,    17 427 $    ,Хмельницький ,114.0,1.0,Механічна,Передній
