,name,price,region,power,volume,transmission,wheel_drive
671,  BMW X7 2021  ,    115 041 $    ,Івано-Франківськ ,530.0,,Автомат,Повний
672,  Volkswagen T-Roc 2021  ,    27 750 $    ,Чернівці ,150.0,1.5,Автомат,Передній
673,  Mitsubishi Outlander 2021  ,    23 569 $    ,Запоріжжя ,145.0,2.0,Варіатор,Передній
674,  Nissan Qashqai 2022  ,    33 145 $    ,Київ ,150.0,1.3,Варіатор,Повний
675,  Mitsubishi Outlander 2021  ,    34 000 $    ,Вінниця ,167.0,2.4,Варіатор,Повний
676,  Mitsubishi Eclipse Cross 2021  ,    33 400 $    ,Вінниця ,150.0,1.5,Варіатор,Повний
677,  Mitsubishi ASX 2021  ,    25 364 $    ,Запоріжжя ,150.0,2.0,Варіатор,Повний
678,  Mitsubishi Outlander 2021  ,    27 540 $    ,Вінниця ,145.0,2.0,Варіатор,Передній
679,  Volkswagen T-Roc 2021  ,    26 156 $    ,Львів ,150.0,1.5,Автомат,Передній
680,  Nissan X-Trail 2021  ,    30 112 $    ,Полтава ,130.0,1.6,Варіатор,Передній
681,  Mazda CX-30 2021  ,    29 325 $    ,Вінниця ,150.0,2.0,Автомат,Передній
682,  BMW X5 2021  ,    87 387 $    ,Івано-Франківськ ,340.0,,Автомат,Повний
683,  Mitsubishi Pajero Sport 2021  ,    40 235 $    ,Львів ,181.0,2.4,Автомат,Повний
684,  Porsche Cayenne 2021  ,    151 433 $    ,Дніпро (Дніпропетровськ) ,340.0,3.0,Тіптронік,Повний
685,  Nissan Juke 2021  ,    25 510 $    ,Полтава ,114.0,1.0,Роботизована,Передній
686,  Nissan Juke 2022  ,    22 949 $    ,Київ ,114.0,1.0,Роботизована,Передній
687,  Suzuki Ignis 2021  ,    17 112 $    ,Івано-Франківськ ,83.0,1.2,Варіатор,Передній
688,  Renault Express Van 2021  ,    15 094 $    ,Луцьк ,95.0,1.5,Механічна,Передній
689,  Suzuki SX4 2021  ,    19 700 $    ,Хмельницький ,117.0,1.6,Механічна,Повний
690,  Mitsubishi Outlander 2021  ,    30 811 $    ,Запоріжжя ,167.0,2.4,Варіатор,Повний
691,  Nissan X-Trail 2021  ,    26 587 $    ,Київ ,144.0,2.0,Варіатор,Передній
692,  Hyundai Tucson 2022  ,    38 168 $    ,Вінниця ,136.0,1.6,Роботизована,Повний
693,  Mitsubishi Outlander 2021  ,    23 151 $    ,Львів ,145.0,2.0,Варіатор,Передній
694,  Suzuki Jimny 2021  ,    23 700 $    ,Хмельницький ,102.0,1.5,Автомат,Повний
695,  Nissan Juke 2021  ,    19 258 $    ,Вінниця ,114.0,1.0,Механічна,Передній
696,  Renault Express 2022  ,    17 796 $    ,Луцьк ,95.0,1.5,Механічна,Передній
697,  Audi Q3 Sportback 2021  ,    55 501 $    ,Запоріжжя ,150.0,,Автомат,Повний
698,  Mitsubishi Pajero Sport 2021  ,    43 872 $    ,Полтава ,181.0,2.4,Автомат,Повний
699,  Volkswagen T-Roc 2021  ,    26 804 $    ,Львів ,150.0,1.5,Автомат,Передній
700,  Audi e-tron GT 2021  ,    111 458 $    ,Запоріжжя ,,,Варіатор,Повний
701,  Nissan Qashqai 2022  ,    34 150 $    ,Полтава ,150.0,1.3,Варіатор,Повний
702,  Mitsubishi Eclipse Cross 2021  ,    28 938 $    ,Львів ,150.0,1.5,Варіатор,Повний
703,  Volkswagen Tiguan 2021  ,    48 425 $    ,Полтава ,150.0,2.0,Автомат,Повний
704,  Skoda Karoq 2021  ,    34 401 $    ,Хмельницький ,150.0,1.4,Автомат,Передній
705,  Honda CR-V 2021  ,    42 956 $    ,Дніпро (Дніпропетровськ) ,184.0,2.0,Варіатор,Повний
706,  Nissan Juke 2021  ,    23 623 $    ,Полтава ,114.0,1.0,Роботизована,Передній
707,  BAIC X3 2021  ,    18 900 $    ,Київ ,116.0,1.5,Автомат,Передній
708,  Honda CR-V 2021  ,    42 956 $    ,Рівне ,184.0,2.0,Варіатор,Повний
709,  Volkswagen T-Cross 2022  ,    26 948 $    ,Львів ,115.0,1.0,Автомат,Передній
710,  Nissan Qashqai 2021  ,    27 293 $    ,Рівне ,150.0,1.3,Варіатор,Передній
711,  Mercedes-Benz S-Class 2021  ,    156 634 $    ,Львів ,367.0,,Автомат,Повний
